state,seller_count
SP,10724711
MG,1989297
PR,1145761
RJ,946038
SC,590445
RS,375873
BA,66211
DF,63835
MA,40095
GO,26429
ES,24148
PE,9345
MT,8225
RN,4568
MS,4381
CE,3007
PA,2568
PB,2126
RO,1704
SE,405
AC,164
AM,81
PI,48
